APT2012SURCK VF (V) @ 298.15K,AP2012SURCK IF (mA) @ 298.15K
1.68875,0.4134
1.69816,0.5186
1.70633,0.5902
1.71333,0.6575
1.71995,0.7543
1.7251,0.8449
1.73049,0.9615
1.73667,1.0887
1.74147,1.1894
1.7452,1.2742
1.74932,1.3802
1.75275,1.4968
1.75608,1.6028
1.75981,1.7141
1.76363,1.8413
1.76745,1.9526
1.7703,2.0532
1.77343,2.1698
1.77667,2.2705
1.7803,2.3871
1.78353,2.4931
1.78687,2.5885
1.79089,2.7104
1.79383,2.8111
1.79677,2.9382
1.799,3.0299
1.80142,3.135
1.80391,3.2696
1.80648,3.3831
1.80889,3.5135
1.81083,3.6313
1.81309,3.7617
1.81511,3.9046
1.81737,4.035
1.81908,4.178
1.82111,4.3168
1.82251,4.443
1.82461,4.5944
1.82624,4.7289
1.82827,4.8803
1.82951,5.0191
1.8313,5.1705
1.83325,5.3051
1.83527,5.4691
1.83683,5.6121
1.83854,5.7803
1.83979,5.9233
1.84142,6.0747
1.84321,6.2429
1.84469,6.3775
1.84594,6.5121
1.84734,6.6677
1.84889,6.7813
1.85053,6.9242
1.85209,7.0798
1.8538,7.2312
1.85497,7.3868
1.85652,7.5424
1.85816,7.6938
1.85979,7.82
1.86112,7.9756
1.86314,8.1354
1.86462,8.291
1.86602,8.434
1.86765,8.535
1.86937,8.7032
1.87084,8.8462
1.8724,9.0186
1.8745,9.17
1.87629,9.3508
1.87808,9.4938
1.87948,9.6494
1.8805,9.7504
1.8819,9.9186
1.88338,10.07
1.88486,10.1919
1.88618,10.3433
1.88758,10.5031
1.88883,10.6503
1.88984,10.7681
1.89132,10.9153
1.89287,11.0499
1.89389,11.1634
1.89521,11.3358
1.89661,11.4998
1.89793,11.647
1.89895,11.7858
1.90019,11.9288
1.90136,12.0928
1.90229,12.2316
1.90346,12.3998
1.90455,12.526
1.90572,12.69
1.90673,12.833
1.9079,13.018
1.90891,13.203
1.91008,13.3881
1.91109,13.5353
1.91218,13.6825
1.91343,13.9053
1.91467,14.1324
1.91623,14.3385
1.91748,14.5656
1.91903,14.8263
1.92028,15.045
1.92168,15.2679
1.92293,15.4992
1.92417,15.7347
1.92565,16.0164
1.92659,16.2519
1.92799,16.5211
1.92947,16.7776
1.93079,17.0257
1.9322,17.3411
1.9336,17.5808
1.93492,17.8542
1.93648,18.1275
1.93773,18.3883
1.93928,18.67
1.94053,18.9013
1.94193,19.1789
1.94341,19.4817
1.94489,19.755
1.94637,20.0494
1.94785,20.3774
1.94956,20.7727
1.95089,21.1175
1.95221,21.4245
1.95369,21.7273
1.95494,22.0806
1.95642,22.4675
1.95782,22.745
1.95914,23.0604
1.96039,23.3758
1.96148,23.645
1.96273,23.9688
1.96413,24.2758
1.96514,24.5617
1.96647,24.8561
1.96764,25.1547
1.96904,25.5205
1.97044,25.878
1.97169,26.1766
1.97317,26.5298
1.97434,26.8831
1.97566,27.2027
1.97667,27.455
1.97792,27.7704
1.97909,28.0521
1.98033,28.4096
1.98174,28.7797
1.98337,29.1834
