VF (V) @ 298.15K,IF (A) @ 298.15K
0.000000000000000e+000,0.000000e+000
1.000000000000000e-003,1.000647e-015
2.000000000000000e-003,2.001305e-015
3.000000000000000e-003,3.001975e-015
4.000000000000000e-003,4.002656e-015
5.000000000000000e-003,5.003351e-015
6.000000000000000e-003,6.004058e-015
7.000000000000000e-003,7.004777e-015
8.000000000000000e-003,8.005509e-015
8.999999999999999e-003,9.006255e-015
1.000000000000000e-002,1.000701e-014
1.100000000000000e-002,1.100779e-014
1.200000000000000e-002,1.200857e-014
1.300000000000000e-002,1.300937e-014
1.400000000000000e-002,1.401019e-014
1.500000000000000e-002,1.501102e-014
1.600000000000000e-002,1.601186e-014
1.700000000000000e-002,1.701272e-014
1.800000000000000e-002,1.801360e-014
1.900000000000000e-002,1.901449e-014
2.000000000000000e-002,2.001539e-014
2.100000000000000e-002,2.101632e-014
2.200000000000000e-002,2.201726e-014
2.300000000000000e-002,2.301821e-014
2.400000000000000e-002,2.401919e-014
2.500000000000000e-002,2.502018e-014
2.600000000000000e-002,2.602119e-014
2.700000000000000e-002,2.702221e-014
2.800000000000000e-002,2.802326e-014
2.900000000000000e-002,2.902432e-014
3.000000000000000e-002,3.002541e-014
3.100000000000000e-002,3.102651e-014
3.200000000000000e-002,3.202763e-014
3.300000000000000e-002,3.302877e-014
3.400000000000000e-002,3.402993e-014
3.500000000000000e-002,3.503112e-014
3.600000000000000e-002,3.603233e-014
3.700000000000000e-002,3.703355e-014
3.800000000000000e-002,3.803480e-014
3.900000000000000e-002,3.903608e-014
4.000000000000000e-002,4.003737e-014
4.100000000000000e-002,4.103869e-014
4.200000000000000e-002,4.204003e-014
4.300000000000000e-002,4.304140e-014
4.400000000000000e-002,4.404278e-014
4.500000000000000e-002,4.504420e-014
4.600000000000000e-002,4.604564e-014
4.700000000000000e-002,4.704710e-014
4.800000000000000e-002,4.804860e-014
4.900000000000000e-002,4.905012e-014
5.000000000000000e-002,5.005166e-014
5.100000000000000e-002,5.105324e-014
5.200000000000000e-002,5.205484e-014
5.300000000000000e-002,5.305647e-014
5.400000000000000e-002,5.405813e-014
5.500000000000000e-002,5.505982e-014
5.600000000000000e-002,5.606154e-014
5.700000000000000e-002,5.706330e-014
5.800000000000000e-002,5.806508e-014
5.900000000000000e-002,5.906689e-014
6.000000000000000e-002,6.006874e-014
6.100000000000000e-002,6.107062e-014
6.200000000000000e-002,6.207254e-014
6.300000000000000e-002,6.307448e-014
6.400000000000000e-002,6.407647e-014
6.500000000000000e-002,6.507849e-014
6.600000000000000e-002,6.608055e-014
6.700000000000000e-002,6.708264e-014
6.800000000000001e-002,6.808477e-014
6.900000000000001e-002,6.908694e-014
7.000000000000001e-002,7.008914e-014
7.099999999999999e-002,7.109139e-014
7.200000000000000e-002,7.209368e-014
7.300000000000000e-002,7.309602e-014
7.400000000000000e-002,7.409838e-014
7.500000000000000e-002,7.510079e-014
7.600000000000000e-002,7.610325e-014
7.700000000000000e-002,7.710575e-014
7.800000000000000e-002,7.810830e-014
7.900000000000000e-002,7.911089e-014
8.000000000000000e-002,8.011353e-014
8.100000000000000e-002,8.111622e-014
8.200000000000000e-002,8.211895e-014
8.300000000000000e-002,8.312174e-014
8.400000000000001e-002,8.412457e-014
8.500000000000001e-002,8.512745e-014
8.599999999999999e-002,8.613038e-014
8.699999999999999e-002,8.713337e-014
8.800000000000000e-002,8.813641e-014
8.900000000000000e-002,8.913951e-014
9.000000000000000e-002,9.014266e-014
9.100000000000000e-002,9.114587e-014
9.200000000000000e-002,9.214913e-014
9.300000000000000e-002,9.315246e-014
9.400000000000000e-002,9.415585e-014
9.500000000000000e-002,9.515929e-014
9.600000000000000e-002,9.616280e-014
9.700000000000000e-002,9.716637e-014
9.800000000000000e-002,9.817001e-014
9.900000000000001e-002,9.917370e-014
1.000000000000000e-001,1.001775e-013
1.010000000000000e-001,1.011813e-013
1.020000000000000e-001,1.021852e-013
1.030000000000000e-001,1.031892e-013
1.040000000000000e-001,1.041932e-013
1.050000000000000e-001,1.051973e-013
1.060000000000000e-001,1.062015e-013
1.070000000000000e-001,1.072058e-013
1.080000000000000e-001,1.082101e-013
1.090000000000000e-001,1.092146e-013
1.100000000000000e-001,1.102191e-013
1.110000000000000e-001,1.112236e-013
1.120000000000000e-001,1.122283e-013
1.130000000000000e-001,1.132331e-013
1.140000000000000e-001,1.142379e-013
1.150000000000000e-001,1.152428e-013
1.160000000000000e-001,1.162478e-013
1.170000000000000e-001,1.172529e-013
1.180000000000000e-001,1.182581e-013
1.190000000000000e-001,1.192634e-013
1.200000000000000e-001,1.202687e-013
1.210000000000000e-001,1.212742e-013
1.220000000000000e-001,1.222798e-013
1.230000000000000e-001,1.232855e-013
1.240000000000000e-001,1.242912e-013
1.250000000000000e-001,1.252971e-013
1.260000000000000e-001,1.263031e-013
1.270000000000000e-001,1.273092e-013
1.280000000000000e-001,1.283154e-013
1.290000000000000e-001,1.293217e-013
1.300000000000000e-001,1.303281e-013
1.310000000000000e-001,1.313347e-013
1.320000000000000e-001,1.323413e-013
1.330000000000000e-001,1.333481e-013
1.340000000000000e-001,1.343550e-013
1.350000000000000e-001,1.353620e-013
1.360000000000000e-001,1.363692e-013
1.370000000000000e-001,1.373765e-013
1.380000000000000e-001,1.383838e-013
1.390000000000000e-001,1.393914e-013
1.400000000000000e-001,1.403991e-013
1.410000000000000e-001,1.414069e-013
1.420000000000000e-001,1.424148e-013
1.430000000000000e-001,1.434229e-013
1.440000000000000e-001,1.444312e-013
1.450000000000000e-001,1.454396e-013
1.460000000000000e-001,1.464481e-013
1.470000000000000e-001,1.474568e-013
1.480000000000000e-001,1.484657e-013
1.490000000000000e-001,1.494747e-013
1.500000000000000e-001,1.504838e-013
1.510000000000000e-001,1.514932e-013
1.520000000000000e-001,1.525027e-013
1.530000000000000e-001,1.535123e-013
1.540000000000000e-001,1.545222e-013
1.550000000000000e-001,1.555322e-013
1.560000000000000e-001,1.565424e-013
1.570000000000000e-001,1.575528e-013
1.580000000000000e-001,1.585634e-013
1.590000000000000e-001,1.595741e-013
1.600000000000000e-001,1.605851e-013
1.610000000000000e-001,1.615963e-013
1.620000000000000e-001,1.626076e-013
1.630000000000000e-001,1.636192e-013
1.640000000000000e-001,1.646309e-013
1.650000000000000e-001,1.656429e-013
1.660000000000000e-001,1.666551e-013
1.670000000000000e-001,1.676675e-013
1.680000000000000e-001,1.686802e-013
1.690000000000000e-001,1.696930e-013
1.700000000000000e-001,1.707061e-013
1.710000000000000e-001,1.717194e-013
1.720000000000000e-001,1.727330e-013
1.730000000000000e-001,1.737468e-013
1.740000000000000e-001,1.747609e-013
1.750000000000000e-001,1.757752e-013
1.760000000000000e-001,1.767898e-013
1.770000000000000e-001,1.778046e-013
1.780000000000000e-001,1.788197e-013
1.790000000000000e-001,1.798351e-013
1.800000000000000e-001,1.808507e-013
1.810000000000000e-001,1.818666e-013
1.820000000000000e-001,1.828828e-013
1.830000000000000e-001,1.838993e-013
1.840000000000000e-001,1.849161e-013
1.850000000000000e-001,1.859332e-013
1.860000000000000e-001,1.869506e-013
1.870000000000000e-001,1.879684e-013
1.880000000000000e-001,1.889864e-013
1.890000000000000e-001,1.900048e-013
1.900000000000000e-001,1.910235e-013
1.910000000000000e-001,1.920425e-013
1.920000000000000e-001,1.930618e-013
1.930000000000000e-001,1.940816e-013
1.940000000000000e-001,1.951016e-013
1.950000000000000e-001,1.961221e-013
1.960000000000000e-001,1.971429e-013
1.970000000000000e-001,1.981640e-013
1.980000000000000e-001,1.991856e-013
1.990000000000000e-001,2.002075e-013
2.000000000000000e-001,2.012299e-013
2.010000000000000e-001,2.022526e-013
2.020000000000000e-001,2.032757e-013
2.030000000000000e-001,2.042993e-013
2.040000000000000e-001,2.053233e-013
2.050000000000000e-001,2.063477e-013
2.060000000000000e-001,2.073725e-013
2.070000000000000e-001,2.083978e-013
2.080000000000000e-001,2.094236e-013
2.090000000000000e-001,2.104498e-013
2.100000000000000e-001,2.114765e-013
2.110000000000000e-001,2.125036e-013
2.120000000000000e-001,2.135313e-013
2.130000000000000e-001,2.145594e-013
2.140000000000000e-001,2.155881e-013
2.150000000000000e-001,2.166173e-013
2.160000000000000e-001,2.176469e-013
2.170000000000000e-001,2.186772e-013
2.180000000000000e-001,2.197079e-013
2.190000000000000e-001,2.207393e-013
2.200000000000000e-001,2.217711e-013
2.210000000000000e-001,2.228036e-013
2.220000000000000e-001,2.238366e-013
2.230000000000000e-001,2.248703e-013
2.240000000000000e-001,2.259045e-013
2.250000000000000e-001,2.269393e-013
2.260000000000000e-001,2.279748e-013
2.270000000000000e-001,2.290110e-013
2.280000000000000e-001,2.300477e-013
2.290000000000000e-001,2.310851e-013
2.300000000000000e-001,2.321232e-013
2.310000000000000e-001,2.331620e-013
2.320000000000000e-001,2.342015e-013
2.330000000000000e-001,2.352416e-013
2.340000000000000e-001,2.362826e-013
2.350000000000000e-001,2.373242e-013
2.360000000000000e-001,2.383666e-013
2.370000000000000e-001,2.394098e-013
2.380000000000000e-001,2.404537e-013
2.390000000000000e-001,2.414984e-013
2.400000000000000e-001,2.425439e-013
2.410000000000000e-001,2.435902e-013
2.420000000000000e-001,2.446374e-013
2.430000000000000e-001,2.456854e-013
2.440000000000000e-001,2.467343e-013
2.450000000000000e-001,2.477840e-013
2.460000000000000e-001,2.488347e-013
2.470000000000000e-001,2.498862e-013
2.480000000000000e-001,2.509387e-013
2.490000000000000e-001,2.519921e-013
2.500000000000000e-001,2.530465e-013
2.510000000000000e-001,2.541019e-013
2.520000000000000e-001,2.551582e-013
2.530000000000000e-001,2.562156e-013
2.540000000000000e-001,2.572740e-013
2.550000000000000e-001,2.583334e-013
2.560000000000000e-001,2.593940e-013
2.570000000000000e-001,2.604556e-013
2.580000000000000e-001,2.615183e-013
2.590000000000000e-001,2.625821e-013
2.600000000000000e-001,2.636471e-013
2.610000000000000e-001,2.647132e-013
2.620000000000000e-001,2.657806e-013
2.630000000000000e-001,2.668491e-013
2.640000000000000e-001,2.679189e-013
2.650000000000000e-001,2.689899e-013
2.660000000000000e-001,2.700622e-013
2.670000000000000e-001,2.711358e-013
2.680000000000000e-001,2.722107e-013
2.690000000000000e-001,2.732870e-013
2.700000000000000e-001,2.743646e-013
2.710000000000000e-001,2.754437e-013
2.720000000000000e-001,2.765241e-013
2.730000000000000e-001,2.776060e-013
2.740000000000000e-001,2.786894e-013
2.750000000000000e-001,2.797743e-013
2.760000000000000e-001,2.808606e-013
2.770000000000000e-001,2.819486e-013
2.780000000000000e-001,2.830381e-013
2.790000000000000e-001,2.841292e-013
2.800000000000000e-001,2.852220e-013
2.810000000000000e-001,2.863164e-013
2.820000000000000e-001,2.874125e-013
2.830000000000000e-001,2.885104e-013
2.840000000000000e-001,2.896100e-013
2.850000000000000e-001,2.907114e-013
2.860000000000000e-001,2.918146e-013
2.870000000000000e-001,2.929197e-013
2.880000000000000e-001,2.940267e-013
2.890000000000000e-001,2.951355e-013
2.900000000000000e-001,2.962464e-013
2.910000000000000e-001,2.973592e-013
2.920000000000000e-001,2.984741e-013
2.930000000000000e-001,2.995910e-013
2.940000000000000e-001,3.007100e-013
2.950000000000000e-001,3.018312e-013
2.960000000000000e-001,3.029545e-013
2.970000000000000e-001,3.040800e-013
2.980000000000000e-001,3.052078e-013
2.990000000000000e-001,3.063379e-013
3.000000000000000e-001,3.074704e-013
3.010000000000000e-001,3.086051e-013
3.020000000000000e-001,3.097424e-013
3.030000000000000e-001,3.108821e-013
3.040000000000000e-001,3.120243e-013
3.050000000000000e-001,3.131690e-013
3.060000000000000e-001,3.143164e-013
3.070000000000000e-001,3.154664e-013
3.080000000000000e-001,3.166191e-013
3.090000000000000e-001,3.177745e-013
3.100000000000000e-001,3.189328e-013
3.110000000000000e-001,3.200938e-013
3.120000000000000e-001,3.212578e-013
3.130000000000000e-001,3.224247e-013
3.140000000000000e-001,3.235946e-013
3.150000000000000e-001,3.247676e-013
3.160000000000000e-001,3.259437e-013
3.170000000000000e-001,3.271229e-013
3.180000000000000e-001,3.283053e-013
3.190000000000000e-001,3.294911e-013
3.200000000000000e-001,3.306801e-013
3.210000000000000e-001,3.318726e-013
3.220000000000000e-001,3.330685e-013
3.230000000000000e-001,3.342679e-013
3.240000000000000e-001,3.354709e-013
